Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Young's Modulus [Pa]	Contact Point [m]	Baseline [N]	Discontinuity Position	Discontinuity Width [m]	Adhesion [N]	ResidualRMS [N]
qi_treated28_top-data-2023.04.26-17.04.50.562_00000.jpk-qi-series	0	-1.00432e-05	-1.09160e-05	5.54254e-08	-0.00399361	3.89818e-06	6.21175e+08	-1.54318e-08	5.62748e-11		0.00000	0.00000	3.25767e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00001.jpk-qi-series	1	-9.88699e-06	-1.09160e-05	5.47097e-08	-0.00384678	3.95508e-06	1.00713e+09	1.41879e-09	1.25060e-12		0.00000	0.00000	3.59799e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00002.jpk-qi-series	2	-9.73074e-06	-1.09160e-05	5.48215e-08	-0.00386136	3.85326e-06	6.50059e+08	5.77940e-09	-7.62483e-11		0.00000	0.00000	3.06957e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00003.jpk-qi-series	3	-9.57449e-06	-1.09160e-05	5.58312e-08	-0.00405539	3.82703e-06	2.20216e+08	-6.16401e-08	-3.92999e-11		0.00000	0.00000	4.43413e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00004.jpk-qi-series	4	-9.41824e-06	-1.09160e-05	5.50531e-08	-0.00394169	3.84098e-06	3.40509e+08	-1.01214e-07	8.16522e-11		0.00000	0.00000	7.13641e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00005.jpk-qi-series	5	-9.26199e-06	-1.09160e-05	5.42488e-08	-0.00381233	3.84713e-06	1.51045e+08	-8.37113e-08	9.61991e-11		0.00000	0.00000	8.64384e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00006.jpk-qi-series	6	-9.10574e-06	-1.09160e-05	5.37348e-08	-0.00372731	3.58368e-06	1.93117e+08	8.59051e-09	3.33274e-10		0.00000	0.00000	3.46376e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00007.jpk-qi-series	7	-8.94949e-06	-1.09160e-05	5.54328e-08	-0.00394399	3.39936e-06	1.17132e+09	-8.18669e-08	1.56265e-10		0.00000	0.00000	2.96671e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00008.jpk-qi-series	8	-8.79324e-06	-1.09160e-05	5.39606e-08	-0.00369608	3.11771e-06	1.79862e+08	2.73922e-08	7.84928e-11		0.00000	0.00000	1.06476e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00009.jpk-qi-series	9	-8.63699e-06	-1.09160e-05	5.56173e-08	-0.00392981	2.95128e-06	5.02710e+08	-5.18979e-08	8.11017e-11		0.00000	0.00000	3.05968e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00010.jpk-qi-series	10	-8.48074e-06	-1.09160e-05	5.33276e-08	-0.00357511	2.97384e-06	1.02838e+08	-2.50473e-07	7.55003e-10		0.00000	0.00000	1.02771e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00011.jpk-qi-series	11	-8.32449e-06	-1.09160e-05	5.39567e-08	-0.00368785	2.52152e-06	3.04186e+07	-3.16637e-08	-8.44412e-12		0.00000	0.00000	2.25932e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00012.jpk-qi-series	12	-8.16824e-06	-1.09160e-05	5.42559e-08	-0.00366966	2.13302e-06	7.05320e+07	-2.48854e-07	1.79805e-09		0.00000	0.00000	8.85806e-09
qi_treated28_top-data-2023.04.26-17.04.50.562_00013.jpk-qi-series	13	-8.01199e-06	-1.09160e-05	5.49546e-08	-0.00370361	2.04859e-06	9.29806e+07	-6.49342e-07	3.75361e-09		0.00000	0.00000	1.16479e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00014.jpk-qi-series	14	-7.85574e-06	-1.09160e-05	5.42922e-08	-0.00354118	2.10370e-06	437492	2.04044e-07	-1.01264e-10		0.00000	0.00000	2.41555e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00015.jpk-qi-series	15	-7.69949e-06	-1.09160e-05	5.62521e-08	-0.00393598	2.51496e-06	257126	4.10125e-07	-3.31931e-09		0.00000	0.00000	2.85911e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00016.jpk-qi-series	16	-7.54324e-06	-1.09160e-05	5.41188e-08	-0.00345165	2.57718e-06	214990	6.74678e-07	-4.34990e-09		0.00000	0.00000	3.72221e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00017.jpk-qi-series	17	-7.38699e-06	-1.09160e-05	5.71237e-08	-0.00413626	2.94855e-06	303741	3.09988e-07	-2.19494e-09		0.00000	0.00000	3.07913e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00018.jpk-qi-series	18	-7.23074e-06	-1.09160e-05	5.55495e-08	-0.00380688	3.09290e-06	393761	6.05336e-07	-3.22905e-09		0.00000	0.00000	3.93449e-08
qi_treated28_top-data-2023.04.26-17.04.50.562_00019.jpk-qi-series	19	-7.07449e-06	-1.09160e-05	5.73602e-08	-0.00420008	3.38692e-06	594427	4.54880e-07	-3.74068e-09		0.00000	0.00000	5.92235e-08
